ID,word,pos,count
abd0b138-3952-400c-aa20-c95296a015c6, ,WHITESPACE,4
abd0b138-3952-400c-aa20-c95296a015c6,、,PAUSECATEGORY,5
abd0b138-3952-400c-aa20-c95296a015c6,。,PERIODCATEGORY,4
abd0b138-3952-400c-aa20-c95296a015c6,「,PARENTHESISCATEGORY,6
abd0b138-3952-400c-aa20-c95296a015c6,」,PARENTHESISCATEGORY,6
abd0b138-3952-400c-aa20-c95296a015c6,一,Neu,1
abd0b138-3952-400c-aa20-c95296a015c6,一定,D,1
abd0b138-3952-400c-aa20-c95296a015c6,一貫,A,1
abd0b138-3952-400c-aa20-c95296a015c6,七六二億,Neu,1
abd0b138-3952-400c-aa20-c95296a015c6,不,D,4
abd0b138-3952-400c-aa20-c95296a015c6,不管,Cbb,1
abd0b138-3952-400c-aa20-c95296a015c6,也,D,2
abd0b138-3952-400c-aa20-c95296a015c6,互利,VH,2
abd0b138-3952-400c-aa20-c95296a015c6,交,VD,1
abd0b138-3952-400c-aa20-c95296a015c6,他,Nh,1
abd0b138-3952-400c-aa20-c95296a015c6,代表,VK,1
abd0b138-3952-400c-aa20-c95296a015c6,但,Cbb,3
abd0b138-3952-400c-aa20-c95296a015c6,低,VH,1
abd0b138-3952-400c-aa20-c95296a015c6,作為,VG,1
abd0b138-3952-400c-aa20-c95296a015c6,保護費,Na,2
abd0b138-3952-400c-aa20-c95296a015c6,入主,VCL,1
abd0b138-3952-400c-aa20-c95296a015c6,全球,Nc,1
abd0b138-3952-400c-aa20-c95296a015c6,共生,VH,1
abd0b138-3952-400c-aa20-c95296a015c6,具備,VJ,1
abd0b138-3952-400c-aa20-c95296a015c6,再度,D,1
abd0b138-3952-400c-aa20-c95296a015c6,出口,VC,1
abd0b138-3952-400c-aa20-c95296a015c6,到,P,1
abd0b138-3952-400c-aa20-c95296a015c6,前總統,Na,1
abd0b138-3952-400c-aa20-c95296a015c6,副會長,Na,1
abd0b138-3952-400c-aa20-c95296a015c6,占,VJ,1
abd0b138-3952-400c-aa20-c95296a015c6,去年,Nd,1
abd0b138-3952-400c-aa20-c95296a015c6,友台,Nc,2
abd0b138-3952-400c-aa20-c95296a015c6,反中,A,2
abd0b138-3952-400c-aa20-c95296a015c6,可能,D,1
abd0b138-3952-400c-aa20-c95296a015c6,台,Nc,1
abd0b138-3952-400c-aa20-c95296a015c6,台灣,Nc,7
abd0b138-3952-400c-aa20-c95296a015c6,台美,Nb,1
abd0b138-3952-400c-aa20-c95296a015c6,因應,VJ,2
abd0b138-3952-400c-aa20-c95296a015c6,國內,Nc,1
abd0b138-3952-400c-aa20-c95296a015c6,國會,Nc,1
abd0b138-3952-400c-aa20-c95296a015c6,國民黨,Nb,2
abd0b138-3952-400c-aa20-c95296a015c6,國防,Na,3
